Complaint ID,Product,Sub-product,Issue,Sub-issue,State,ZIP code,Submitted via,Date received,Date sent to company,Company,Company response,Timely response?,Consumer disputed?
1097259,Mortgage,VA mortgage,"Loan modification,collection,foreclosure",,WA,98340,Web,11/01/2014,11/01/2014,Navy FCU,In progress,Yes,
1097361,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,TX,78249,Web,11/01/2014,11/01/2014,Citibank,Closed with explanation,Yes,
1097362,Bank account or service,Checking account,"Account opening, closing, or management",,MD,21163,Web,11/01/2014,11/01/2014,U.S. Bancorp,Closed with monetary relief,Yes,Yes
1097211,Consumer loan,Vehicle loan,Taking out the loan or lease,,TX,78218,Web,11/01/2014,11/01/2014,Ally Financial Inc.,In progress,Yes,
1097371,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,DC,20003,Web,11/01/2014,11/01/2014,"Expert Global Solutions, Inc.",In progress,Yes,
1097272,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt resulted from identity theft,SC,29202,Web,11/01/2014,11/01/2014,"Asset Management Outsourcing, Inc.",Closed with explanation,Yes,Yes
1097305,Credit reporting,,Incorrect information on credit report,Personal information,NY,11221,Web,11/01/2014,11/01/2014,Experian,Closed with explanation,Yes,
1097299,Debt collection,"Other (phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,MD,20677,Web,11/01/2014,11/01/2014,"Expert Global Solutions, Inc.",Closed with explanation,Yes,
1097349,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CO,80005,Web,11/01/2014,11/01/2014,Citibank,In progress,Yes,
1097159,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,IN,46310,Web,11/01/2014,11/01/2014,Flagstar Bank,In progress,Yes,
1097689,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,TX,77834,Web,11/01/2014,11/02/2014,Ocwen,Closed with explanation,Yes,
1097691,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,CO,80516,Web,11/01/2014,11/02/2014,JPMorgan Chase,In progress,Yes,
1097402,Credit reporting,,Incorrect information on credit report,Account status,SD,57555,Web,11/01/2014,11/01/2014,Equifax,In progress,Yes,
1097354,Credit card,,Billing disputes,,CA,91030,Web,11/01/2014,11/01/2014,Citibank,Closed with explanation,Yes,
1097471,Bank account or service,Other bank product/service,"Account opening, closing, or management",,NJ,08520,Web,11/01/2014,11/01/2014,Wells Fargo,Closed with explanation,Yes,
1095612,Mortgage,Home equity loan or line of credit,"Loan servicing, payments, escrow account",,OR,97115,Web,10/31/2014,10/31/2014,Specialized Loan Servicing LLC,Closed with explanation,Yes,
1095439,Debt collection,"Other (phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,LA,70714,Web,10/31/2014,10/31/2014,Central Portfolio Control Inc.,In progress,Yes,
1094981,Mortgage,Other mortgage,Settlement process and costs,,CT,06614,Web,10/31/2014,11/05/2014,Citibank,In progress,Yes,
1095329,Debt collection,,Disclosure verification of debt,Not given enough info to verify debt,MA,02333,Web,10/31/2014,10/31/2014,"J.A. Cambece Law Office, P.C.",Closed,Yes,
1096086,Bank account or service,Checking account,Deposits and withdrawals,,IL,60079,Phone,10/31/2014,11/05/2014,Bank of America,In progress,Yes,
1096126,Student loan,Non-federal student loan,Can't repay my loan,,FL,33020,Web,10/31/2014,10/31/2014,Great Lakes,Closed with explanation,Yes,
1096520,Credit reporting,,Incorrect information on credit report,Account terms,IN,46229,Web,10/31/2014,10/31/2014,Experian,Closed with explanation,Yes,
1096489,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,NJ,08721,Web,10/31/2014,10/31/2014,"United Recovery Systems, LP",Closed with explanation,Yes,
1095247,Credit reporting,,Incorrect information on credit report,Account status,ID,83642,Web,10/31/2014,10/31/2014,TransUnion,Closed with explanation,Yes,
1095320,Credit card,,Late fee,,NJ,07302,Web,10/31/2014,10/31/2014,TD Bank,Closed with monetary relief,Yes,
1096519,Credit reporting,,Incorrect information on credit report,Account terms,IN,46229,Web,10/31/2014,10/31/2014,Equifax,Closed with explanation,Yes,
1097143,Credit reporting,,Incorrect information on credit report,Public record,GA,30082,Web,10/31/2014,10/31/2014,Experian,Closed with non-monetary relief,Yes,Yes
1095937,Debt collection,Medical,Cont'd attempts collect debt not owed,Debt was paid,NY,10128,Web,10/31/2014,11/06/2014,"Stephens and Michaels Associates, Inc.",Closed with explanation,Yes,
1095246,Credit reporting,,Incorrect information on credit report,Account status,ID,83642,Web,10/31/2014,10/31/2014,Experian,Closed with explanation,Yes,
1095340,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,FL,34986,Web,10/31/2014,10/31/2014,Nationstar Mortgage,In progress,Yes,
1096473,Debt collection,"Other (phone, health club, etc.)",Communication tactics,Called after sent written cease of comm,OH,44312,Web,10/31/2014,10/31/2014,Sunrise Credit Services Inc.,Closed with explanation,Yes,
1095248,Credit reporting,,Incorrect information on credit report,Account status,ID,83642,Web,10/31/2014,10/31/2014,Equifax,Closed with explanation,Yes,
